Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,15/08/09,Aberdeen,Celtic,1,3,A,0,3,A,C Thomson,3,22,1,13,13,8,4,8,1,0,0,0,5,3.75,1.67,5,3.5,1.6,5,3.5,1.63,4.6,3.4,1.6,5.5,3.5,1.53,5,3.6,1.6,5,3.5,1.57,5.5,3.6,1.67,5.5,3.5,1.6,5.5,3.5,1.62,24,5.5,5.21,3.75,3.53,1.7,1.62,21,1.88,1.75,2.1,1.99,14,0,4,3.8,1.25,1.23
SC0,15/08/09,Hibernian,St Mirren,2,1,H,1,1,D,A Muir,21,4,11,1,15,10,7,3,2,2,0,1,1.83,3.4,4.5,1.75,3.4,4.1,1.75,3.4,4.25,1.8,3.2,3.7,1.73,3.4,4,1.8,3.4,4,1.7,3.3,4.33,1.8,3.25,4.33,1.8,3.3,4,1.8,3.3,4.5,25,1.91,1.8,3.5,3.34,4.6,4.21,20,2.18,2.04,1.8,1.7,14,0,1.34,1.31,3.4,3.14
SC0,15/08/09,Kilmarnock,Hamilton,3,0,H,1,0,H,C Boyle,9,8,5,3,11,10,4,4,0,1,0,0,1.85,3.4,4.33,1.9,3.3,3.6,1.95,3.25,3.5,1.9,3.1,3.5,1.83,3.3,3.6,1.91,3.3,3.6,1.91,3.2,3.5,2,3.25,3.4,1.8,3.3,4,1.91,3.25,3.75,26,2,1.92,3.4,3.28,4,3.71,22,2.25,2.12,1.7,1.65,15,0,1.51,1.42,2.77,2.65
SC0,15/08/09,Rangers,Falkirk,4,1,H,2,1,H,M Tumilty,19,12,13,8,7,13,7,5,3,1,0,0,1.2,6,15,1.2,5.5,11,1.2,5.5,11,1.2,5,10,1.2,5,11,1.2,5.5,12,1.2,5,11,1.2,5.5,11,1.2,5.5,11,1.22,5.5,12,25,1.22,1.2,6.5,5.64,15,12.5,20,1.65,1.6,2.38,2.21,14,0,1.04,1.03,11.2,10.4
SC0,15/08/09,St Johnstone,Motherwell,2,2,D,1,0,H,D McDonald,14,10,6,6,12,6,3,5,4,4,0,0,2.7,3.2,2.6,2.4,3.25,2.6,2.5,3.3,2.5,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.6,2.5,3.1,2.5,2.5,3.25,2.5,2.6,3.2,2.5,2.6,3.2,2.6,25,2.75,2.52,3.3,3.2,2.8,2.6,21,2.25,2.1,1.73,1.66,14,0,1.9,1.83,1.99,1.91
SC0,17/08/09,Dundee United,Hearts,2,0,H,1,0,H,S Conroy,8,9,3,5,21,13,4,6,3,4,0,1,2.25,3.3,3.1,2.25,3.25,2.8,2.35,3.25,2.75,2.2,3,2.9,2.25,3.2,2.75,2.2,3.25,2.88,2.3,3.2,2.62,2.4,3.25,2.9,2.2,3.25,3,2.4,3.25,2.75,25,2.4,2.29,3.3,3.23,3.15,2.88,22,2.23,2.06,1.73,1.69,14,0,1.75,1.66,2.33,2.1
SC0,22/08/09,Celtic,St Johnstone,5,2,H,2,1,H,W Collum,16,7,10,4,11,9,6,2,0,1,0,0,1.17,7,17,1.15,6,13,1.17,6,13,1.17,5.5,11,1.2,6,15,1.17,6.5,11,1.17,5.5,12,1.17,6,13,1.14,6.5,13,1.17,6,17,30,1.2,1.17,8.2,6.35,20.5,13.45,26,1.55,1.48,2.72,2.52,15,0,1.05,1.03,15,10.09
SC0,22/08/09,Falkirk,Hibernian,1,3,A,1,1,D,S Conroy,9,10,3,6,10,19,9,4,3,6,0,0,2.6,3.3,2.63,2.5,3.25,2.5,2.5,3.2,2.6,2.5,3,2.5,2.8,3.3,2.5,2.6,3.3,2.4,2.38,3.1,2.62,2.5,3.4,2.63,2.5,3.2,2.6,2.5,3.25,2.62,30,2.82,2.58,3.4,3.23,2.8,2.59,26,2.35,2.14,1.73,1.65,14,0,1.95,1.87,1.95,1.88
SC0,22/08/09,Hamilton,Aberdeen,0,3,A,0,2,A,B Winter,10,17,4,10,16,9,3,3,2,3,0,0,2.75,3.3,2.5,2.65,3.25,2.35,2.75,3.25,2.35,2.6,3,2.4,2.8,3.3,2.5,2.7,3.25,2.38,2.75,3.2,2.25,2.75,3.25,2.3,2.6,3.2,2.5,2.88,3.25,2.3,31,3.05,2.82,3.35,3.23,2.52,2.37,27,2.35,2.17,1.7,1.63,15,0,2.13,2.02,1.8,1.74
SC0,22/08/09,Motherwell,Kilmarnock,3,1,H,2,0,H,C Allan,14,12,6,6,8,14,10,0,1,3,0,0,2.1,3.3,3.5,2,3.25,3.3,2.05,3.25,3.3,2.1,3,3.1,2.25,3.25,3.25,2.1,3.25,3.2,1.95,3.25,3.3,2.1,3.25,3.2,2,3.25,3.4,2.1,3.2,3.4,31,2.25,2.09,3.4,3.26,3.75,3.33,27,2.24,2.06,1.75,1.7,16,0,1.55,1.49,2.63,2.43
